model_DE,model,study,country,parameter,site,mean.d,SD.d,total.d,mean.c,SD.c,total.c
C57BL/6 mice,SI mice,krauss 2015,Pennsylvania,dendritic cells,lymph nodes,3.9,0.5,16,2.1,0.5,16
C57BL/6 mice,SI mice,krauss 2015,Pennsylvania,dendritic cells,lymph nodes,2.1,0.5,16,1.9,0.5,16
C57BL/6 mice,SI mice,lee 2012,Boston,TLR4,corneal,28,2,6,5,3,6
NOD.B10.H2b mice ,NOD.B10.H2b mice ,Lee 2015,Seoul,IFN-γ,ocular suface,2.9,1,10,1,0.1,10
NOD.B10.H2b mice ,NOD.B10.H2b mice ,Lee 2015,Seoul,IL-1β,ocular suface,4.5,2,10,1,0.1,10
NOD.B10.H2b mice ,NOD.B10.H2b mice ,Lee 2015,Seoul,IL-2,ocular suface,7,2,10,1,0.1,10
NOD.B10.H2b mice ,NOD.B10.H2b mice ,Lee 2015,Seoul,IL-6,ocular suface,2.4,0.5,10,1,0.1,10
NOD.B10.H2b mice ,NOD.B10.H2b mice ,Lee 2015,Seoul,TNF-α,ocular suface,3,1,10,1,0.1,10
C57BL/6 mice,SI mice,Lee 2017,Boston,dendritic cells,corneal,160,50,4,90,10,4
C57BL/6 mice,SI mice,Lee 2017,Boston,dendritic cells,corneal,160,50,4,80,5,4
NOD mice,NOD mice,Li 2018,Nanjing,IL-17A,submandibular glands,8.8,1,5,5.9,0.4,5
C57BL/6 mice,SI mice,li 2019,Gwangju,CD11b ,conjunctiva ,800,50,6,100,1,6
C57BL/6 mice,SI mice,li 2019,Gwangju,IFN-γ,conjunctiva ,55,6,6,20,0.001,6
C57BL/6 mice,SI mice,li 2019,Gwangju,IL-1β,conjunctiva ,115,20,6,40,0.001,6
C57BL/6 mice,SI mice,li 2019,Gwangju,IL-6,conjunctiva ,40,5,6,8,0.001,6
C57BL/6 mice,SI mice,li 2019,Gwangju,TNF-α,conjunctiva ,20,5,6,5,0.001,6
